Task,Timestamp, weight, cogX , cogY , bl, br, tl, tr, accX, accY, accZ, falls
3,11.90169,0,0,0,0,0,0,0,-0.4444444,-0.4814815,0.8148148,0
3,11.91868,0,0,0,0,0,0,0,-0.4814815,-0.5185185,0.8518519,0
3,11.93482,0,0,0,0,0,0,0,-0.5555556,-0.5185185,0.8518519,0
3,11.95139,0,0,0,0,0,0,0,-0.5555556,-0.5185185,0.8148148,0
3,11.96824,0,0,0,0,0,0,0,-0.5555556,-0.4814815,0.7777778,0
3,11.98452,0,0,0,0,0,0,0,-0.5185185,-0.4814815,0.7777778,0
3,12.00138,0,0,0,0,0,0,0,-0.4814815,-0.4444444,0.7777778,0
3,12.01766,0,0,0,0,0,0,0,-0.5185185,-0.4444444,0.7777778,0
3,12.03445,0,0,0,0,0,0,0,-0.4814815,-0.4444444,0.7777778,0
3,12.05079,0,0,0,0,0,0,0,-0.4444444,-0.4444444,0.8148148,0
3,12.06736,0,0,0,0,0,0,0,-0.4074074,-0.4814815,0.8518519,0
3,12.08392,0,0,0,0,0,0,0,-0.4074074,-0.4814815,0.8888889,0
3,12.10049,0,0,0,0,0,0,0,-0.3703704,-0.4814815,0.8518519,0
3,12.11716,0,0,0,0,0,0,0,-0.3703704,-0.5185185,0.8518519,0
3,12.13363,0,0,0,0,0,0,0,-0.3703704,-0.5185185,0.8518519,0
3,12.15031,0,0,0,0,0,0,0,-0.4074074,-0.5185185,0.8518519,0
3,12.16682,0,0,0,0,0,0,0,-0.4074074,-0.5185185,0.8148148,0
3,12.18335,0,0,0,0,0,0,0,-0.4074074,-0.5185185,0.8148148,0
3,12.19989,0,0,0,0,0,0,0,-0.4074074,-0.5185185,0.8148148,0
3,12.21646,0,0,0,0,0,0,0,-0.3703704,-0.4814815,0.8148148,0
3,12.23302,0,0,0,0,0,0,0,-0.3703704,-0.4814815,0.8148148,0
3,12.2496,0,0,0,0,0,0,0,-0.4074074,-0.4814815,0.8148148,0
3,12.26618,0,0,0,0,0,0,0,-0.4444444,-0.5185185,0.8148148,0
3,12.28309,0,0,0,0,0,0,0,-0.4444444,-0.4814815,0.7777778,0
3,12.29933,0,0,0,0,0,0,0,-0.4444444,-0.5185185,0.8148148,0
3,12.31586,0,0,0,0,0,0,0,-0.4814815,-0.5185185,0.8518519,0
3,12.33243,0,0,0,0,0,0,0,-0.4814815,-0.5185185,0.8518519,0
3,12.34928,0,0,0,0,0,0,0,-0.4814815,-0.5185185,0.8518519,0
3,12.36557,0,0,0,0,0,0,0,-0.4444444,-0.5185185,0.8148148,0
3,12.38235,0,0,0,0,0,0,0,-0.4444444,-0.5925926,0.7407407,0
3,12.39871,0,0,0,0,0,0,0,-0.5185185,-0.6296296,0.7407407,0
3,12.41526,0,0,0,0,0,0,0,-0.5925926,-0.6666667,0.8148148,0
3,12.43201,0,0,0,0,0,0,0,-0.6296296,-0.6666667,0.8148148,0
3,12.44839,0,0,0,0,0,0,0,-0.5925926,-0.6296296,0.8518519,0
3,12.46496,0,0,0,0,0,0,0,-0.4444444,-0.5555556,0.8148148,0
3,12.48164,0,0,0,0,0,0,0,-0.4074074,-0.5555556,0.7777778,0
3,12.4981,0,0,0,0,0,0,0,-0.4814815,-0.6666667,0.7777778,0
