#Starting log sesion
#3/1/2018 1:02:03 PM
cogX , cogY , weight, bl, br, tl, tr, falls
5.513639,1.391567,79.35742,61.77189,115.3481,55.27169,85.03795,0
5.547156,1.38204,79.39484,61.41935,115.6581,55.42598,85.07589,0
5.580874,1.387938,79.56805,61.38018,116.1618,55.46455,85.26563,0
5.65466,1.317498,79.70654,60.75346,116.1618,55.73454,86.17634,0
5.834437,1.165359,79.80819,59.30415,115.8131,55.96597,88.14955,0
5.863839,1.037533,79.81904,58.32489,115.1157,56.73738,89.09821,0
5.952481,0.9112749,79.54874,57.03226,114.147,56.9688,90.04688,0
5.992206,0.7437325,79.58563,55.93548,113.1009,57.81736,91.48884,0
6.053179,0.6054696,79.38284,54.76037,112.016,58.24163,92.51339,0
5.983132,0.2673102,79.3447,53.03687,109.1875,60.44016,94.71429,0
5.983132,0.2673102,79.3447,53.03687,109.1875,60.44016,94.71429,0
5.929268,0.1317468,79.27023,52.48848,107.7926,61.28871,95.51116,0
5.908639,0.02212377,79.23529,51.82258,106.9402,62.06012,96.1183,0
5.574925,-0.447932,79.29215,50.45161,102.2131,66.0329,98.47099,0
5.574925,-0.447932,79.29215,50.45161,102.2131,66.0329,98.47099,0
5.358212,-0.8231321,79.05249,48.68894,98.57094,69.0751,99.875,0
5.278584,-0.9920408,79.31213,48.17972,97.33105,70.57256,101.1652,0
5.278584,-0.9920408,79.31213,48.17972,97.33105,70.57256,101.1652,0
5.024613,-1.366546,79.47498,47.04378,93.80513,73.87465,103.1763,0
4.71856,-1.83487,79.42102,45.39862,89.15556,77.75269,105.3772,0
4.607883,-2.097887,79.38641,44.2235,86.79202,79.7109,106.8192,0
4.485272,-2.351647,79.41991,43.28341,84.42849,81.63071,108.3371,0
4.374886,-2.61531,79.2892,42.02995,81.98746,83.51214,109.6272,0
4.097198,-3.160543,79.00867,39.79723,76.60171,87.39017,112.2455,0
3.978127,-3.419919,78.86894,38.70046,74.08319,89.15641,113.5357,0
3.854648,-3.6688,78.90283,37.91705,71.64217,90.92265,115.1295,0
3.761047,-3.953674,79.11604,36.82028,69.27863,93.07284,117.2924,0
3.707409,-4.196816,79.39746,36.03687,67.22197,94.72388,119.6071,0
3.659352,-4.659001,79.61336,33.6083,63.79863,97.87239,123.1741,0
3.59307,-4.883317,79.62605,32.90322,61.54234,99.10107,124.9576,0
3.537215,-5.101828,79.7065,31.96313,59.67506,100.5985,126.5893,0
3.514901,-5.240515,79.9935,31.68894,58.43021,101.52,128.3348,0
3.538714,-5.416027,80.27706,30.82719,57.26316,102.6719,130.346,0
3.508188,-5.693067,80.72601,29.96544,54.89016,104.515,133.5335,0
3.465006,-5.902032,80.53815,28.947,52.90618,105.5517,134.7478,0
3.465006,-5.902032,80.53815,28.947,52.90618,105.5517,134.7478,0
3.450862,-5.970782,80.3317,28.63364,52.08924,105.6285,134.9754,0
3.451126,-6.147173,79.51308,27.30184,50.26087,105.5901,134.8996,0
3.483106,-6.301198,78.74393,25.8917,48.89931,105.4749,134.7098,0
3.483106,-6.301198,78.74393,25.8917,48.89931,105.4749,134.7098,0
3.530037,-6.404748,78.48601,25.22581,47.96568,105.3597,135.3929,0
3.548351,-6.430752,78.4741,25.06912,47.77117,105.3597,135.6964,0
3.623619,-6.476579,78.99637,24.79493,47.92677,105.9356,137.3281,0
3.623619,-6.476579,78.99637,24.79493,47.92677,105.9356,137.3281,0
3.655458,-6.566325,79.43933,24.4424,47.49886,106.7803,139.0357,0
3.716259,-6.577729,79.3894,24.20737,47.53776,106.4732,139.3393,0
3.716259,-6.577729,79.3894,24.20737,47.53776,106.4732,139.3393,0
3.856758,-6.657311,79.56258,23.61982,47.22654,106.2812,141.1228,0
3.887961,-6.678708,79.39758,23.30645,47.10984,106.0892,141.0848,0
3.844951,-6.692252,79.29205,23.26728,46.87643,106.2812,140.7433,0
3.844951,-6.692252,79.29205,23.26728,46.87643,106.2812,140.7433,0
3.879166,-6.721545,79.3756,22.91475,46.91533,106.5116,141.1607,0
3.917447,-6.753125,79.36276,22.75806,46.64302,106.358,141.692,0
3.93989,-6.770814,79.22704,22.4447,46.60412,106.2812,141.5781,0
3.903047,-6.78968,79.24543,22.48387,46.33181,106.55,141.6161,0
3.86728,-6.833772,79.24281,22.32719,45.90389,106.9723,141.7679,0
3.870635,-6.859935,79.32704,22.17051,45.78719,107.2411,142.1094,0
3.785468,-6.904215,79.19126,22.09216,45.16476,107.7403,141.7679,0
3.775225,-6.936646,79.23685,22.01382,44.85355,107.9706,142.1094,0
3.707628,-6.934843,79.25727,22.32719,44.58123,108.201,141.9196,0
3.683013,-6.951169,79.14179,22.09216,44.50343,108.4314,141.5402,0
3.647334,-6.927732,79.23978,22.52304,44.46453,108.4314,141.5402,0
3.49486,-6.896953,79.17793,23.07143,44.27002,108.9305,140.4397,0
3.473399,-6.900987,79.10166,22.87558,44.34783,109.1609,140.0223,0
3.419041,-6.851386,79.0681,23.26728,44.58123,109.1225,139.3013,0
3.381149,-6.828772,79.17587,23.54148,44.69794,109.3145,139.1496,0
3.214277,-6.777989,79.44136,24.48157,44.65904,110.0824,138.5424,0
3.148996,-6.759238,79.5592,24.63825,44.85355,110.62,138.125,0
3.01618,-6.691924,79.78726,25.38249,45.20366,111.2727,137.2902,0
3.01618,-6.691924,79.78726,25.38249,45.20366,111.2727,137.2902,0
2.911364,-6.660177,79.75334,25.81336,45.16476,111.5799,136.4554,0
2.870057,-6.639431,79.70775,26.04839,45.16476,111.5799,136.0379,0
2.79633,-6.549158,79.5914,26.67512,45.63158,111.3111,134.7478,0
2.765187,-6.527454,79.19104,26.75346,45.47597,110.7736,133.7612,0
2.744582,-6.511042,79.12553,26.91014,45.47597,110.6584,133.4576,0
2.718907,-6.456306,79.06295,27.30184,45.74828,110.3512,132.8504,0
2.710301,-6.341655,79.0333,27.96774,46.56522,109.6985,131.9018,0
2.724141,-6.266975,78.94274,28.32028,47.10984,109.0841,131.2567,0
2.723348,-6.207787,79.18685,28.75115,47.69336,109.0841,131.2188,0
2.687306,-6.141047,79.12527,29.29954,47.96568,108.7002,130.5357,0
2.689671,-6.045341,79.22845,29.73042,48.89931,108.4314,129.8527,0
2.706759,-5.863182,79.20338,30.70968,50.29977,107.2795,128.5246,0
2.637117,-5.705735,79.15866,31.96313,51.0778,106.4732,127.1205,0
2.542621,-5.488424,79.54079,34,52.32265,105.8204,126.0201,0
2.468591,-5.225159,80.18529,36.3894,54.15103,105.1293,125.0714,0
2.388126,-4.84504,81.26165,39.67972,57.22425,104.3614,123.7813,0
2.421708,-4.164156,82.41762,44.53687,63.0984,101.2897,120.7455,0
2.42303,-3.956662,82.15492,45.75115,64.38215,99.60023,118.8862,0
2.468763,-3.795364,81.25339,46.2212,64.88787,97.18125,116.7232,0
2.434826,-3.37797,79.2765,47.78802,66.13272,92.38171,110.8036,0
2.434826,-3.37797,79.2765,47.78802,66.13272,92.38171,110.8036,0
2.42643,-2.371352,78.80795,53.74194,72.72707,85.66234,103.1004,0
2.42643,-2.371352,78.80795,53.74194,72.72707,85.66234,103.1004,0
2.129439,-1.736099,80.31876,61.06682,76.33048,83.28176,100.596,0
2.323575,-0.706597,80.12524,65.64977,85.16467,76.86957,92.81696,0
2.060993,0.8415349,80.74875,76.11187,96.71111,69.53586,80.63616,0
1.96836,1.582256,81.56954,81.42922,103.2205,66.4186,75.20982,0
1.96836,1.582256,81.56954,81.42922,103.2205,66.4186,75.20982,0
1.949643,2.533467,82.04169,87.48402,111.241,61.36585,68.07589,0
1.951524,2.831387,81.28787,88.49315,112.4422,58.97448,65.24169,0
1.923323,3.591844,79.75558,91.48174,115.7744,53.42031,58.34592,0
1.91669,3.99851,79.45876,93.46119,118.4091,50.95179,55.01296,0
1.84301,4.398301,79.1816,95.59589,120.8114,48.86897,51.45014,0
1.855299,4.838327,79.47508,98.50685,124.5311,46.40046,48.46197,0
